#,Комнат,Район города,Адрес,Этаж,Общ,Жил,Кух,М,Тел,Примечания,Цена
1,1,Московский,Пулковское ш.,0/0,35.7,0.0,0.0,,,,3820.0
2,1,Московский,Пулковское ш.,0/0,27.5,0.0,0.0,,,,3080.0
3,1,Московский,Московское ш.,0/0,35.5,0.0,0.0,,,,3470.0
4,1,Московский,Московское ш.,0/0,33.5,0.0,0.0,,,,2989.0
5,1,Московский,Московское ш.,0/0,24.2,0.0,0.0,,,,2261.0
6,1,Московский,Московский пр. / Смоленская ул.,0/0,37.9,0.0,0.0,,,,3983.0
7,1,Московский,Дунайский пр. 7,0/0,28.0,0.0,0.0,,,,2800.0
8,1,Московский,Дунайский пр. 7,0/0,41.4,0.0,0.0,,,,3580.0
10,1,Московский,Московский пр. / Смоленская ул.,0/0,27.5,0.0,0.0,,,,3030.0
11,1,Московский,Ленсовета ул. 34 / 3,0/0,44.3,0.0,0.0,,,,5316.0
12,1,Московский,Пулковское ш. 65 к. 3,3/3,30.0,18.0,7.0,Московская 15 тр,(921)985-3998,ПП отл/сост парк,2900.0
14,1,Московский,Штурманская ул. 22 к. 1,1/5,28.2,15.5,5.6,Московская 20 тр,(905)234-2248,бол. 3лет ст. пак своб ХС,2990.0
15,1,Московский,Пулковское ш. 89,5/5,30.0,16.0,7.0,Московская 10 тр,956-47-87,ПП д/г З/Л ст/п хс,2699.0
16,1,Московский,Пулковское ш. 105,2/5,39.0,16.0,8.0,Московская,(911)990-5870,"ХС,лоджия,б3лет",4050.0
17,1,Московский,Орджоникидзе ул. 9,1/5,32.0,18.0,6.0,Московская 5 пеш,325-88-11,"(950)009-6013, ВП, 2 стор",3800.0
18,1,Московский,Орджоникидзе ул. 41 к. 1,2/5,31.0,17.0,6.5,Звездная 8 пеш,(921)327-5506,ДГ ПП ХС Б бол/3 г.,3500.0
19,1,Московский,Орджоникидзе ул. 37 к. 2,1/5,31.0,17.0,6.0,Звездная 15 пеш,322-52-42,ХСт.980-0221,3200.0
